date,event
2018/02/24（土）,全脳アーキテクチャ若手の会主催 定期交流会
2018/01/13（土）,満席「多様な視点で見つめるシンギュラリティ」シンギュラリティ大学 x SONY x WBA若手の会
2017/10/28（土）,全脳アーキテクチャ若手の会 関西異分野交流会
2017/10/23（月）,第33回 全脳アーキテクチャ若手の会 勉強会 懇親会
2017/10/23（月）,第33回 全脳アーキテクチャ若手の会 勉強会「心理学は人工知能に心を提供できるか」
2017/10/02（月）,第32回 全脳アーキテクチャ若手の会 勉強会 あっさりカジュアルトーク
2017/09/30（土）,第31回 全脳アーキテクチャ若手の会×全会連 勉強会 カジュアルトーク AIは会計士から仕事を奪う？
2017/09/05（火）,第30回 全脳アーキテクチャ若手の会 勉強会 カジュアルトーク　～人々を幸せにするAI技術～
2017/09/04（月）,第29回 全脳アーキテクチャ若手の会 勉強会 懇親会
2017/09/04（月）,第29回 全脳アーキテクチャ若手の会 勉強会 「哲学的人工知能批判と第3次AIブーム」
2017/08/21（月）,【九州】トビタテ留学JAPAN! Tech人材枠説明会
2017/08/17（木）,【関西】トビタテ留学JAPAN! Tech人材枠説明会
2017/07/31（月）,【関東】トビタテ留学JAPAN! Tech人材枠説明会
2017/07/20（木）,第28回 全脳アーキテクチャ若手の会 勉強会 懇親会
2017/07/20（木）,第28回 全脳アーキテクチャ若手の会 勉強会 「深層強化学習の動向」
2017/06/22（木）,第27回全脳アーキテクチャ若手の会 勉強会 カジュアルトーク
2017/06/21（水）,第26回 全脳アーキテクチャ若手の会 勉強会 懇親会
2017/06/21（水）,第26回 全脳アーキテクチャ若手の会 勉強会 「バイナリーニューラルネットとハードウェアの関係」
2017/05/31（水）,第25回 全脳アーキテクチャ若手の会 勉強会 カジュアルトーク
2017/05/29（月）,第24回 全脳アーキテクチャ若手の会 勉強会 こってりカジュアルトーク ~ロボットの知能に迫る
2017/05/20（土）,人工知能 + 認知科学 + 神経科学　異分野交流会
2017/04/28（金）,第23回 全脳アーキテクチャ若手の会 勉強会 カジュアルトーク〜医療×AI〜
2017/03/31（金）,第22回 全脳アーキテクチャ若手の会 勉強会 カジュアルトーク
2017/03/20（月）,第21回 全脳アーキテクチャ若手の会　勉強会 　：デンソー x WBA若手　自動運転カジュアルトーク
2017/01/31（火）,第20回　全脳アーキテクチャ若手の会　カジュアルトーク
